"Season","Name","WAR","playerid"
"1992","Domingo Martinez","0.2","1008163"
"2000","Carlos Delgado","7.4","1297"
"1993","John Olerud","8.1","1093"
"2003","Carlos Delgado","5.3","1297"
"1998","Carlos Delgado","5.7","1297"
"2002","Carlos Delgado","4.3","1297"
"1999","Carlos Delgado","3.6","1297"
"2001","Carlos Delgado","4.0","1297"
"2012","Edwin Encarnacion","4.3","2151"
"2015","Edwin Encarnacion","4.5","2151"
"2014","Edwin Encarnacion","3.6","2151"
"2007","Matt Stairs","1.4","1384"
"2013","Edwin Encarnacion","4.0","2151"
"2015","Chris Colabello","0.8","13051"
"2004","Carlos Delgado","2.4","1297"
"2014","Adam Lind","1.5","8027"
"2006","Lyle Overbay","1.8","1617"
"2016","Edwin Encarnacion","3.9","2151"
"1994","John Olerud","3.1","1093"
"1996","John Olerud","2.6","1093"
"1997","Carlos Delgado","1.8","1297"
"2013","Adam Lind","1.6","8027"
"1992","John Olerud","3.1","1093"
"1993","Domingo Martinez","0.2","1008163"
"2009","Lyle Overbay","2.0","1617"
"1995","John Olerud","2.2","1093"
"2005","Shea Hillenbrand","2.1","196"
"2014","John Mayberry","0.0","3390"
"2008","Lyle Overbay","1.6","1617"
"2012","David Cooper","-0.1","7752"
"1996","Juan Samuel","0.3","1011400"
"2010","Lyle Overbay","1.1","1617"
"2015","Justin Smoak","0.6","9054"
"2005","Eric Hinske","1.1","1305"
"1999","Willis Otanez","-0.1","1009889"
"2006","Kevin Barker","-0.1","1019"
"2012","Adam Lind","-0.1","8027"
"2011","Adam Lind","0.2","8027"
"2015","Matt Hague","-0.1","7772"
"2013","Ryan Langerhans","0.1","98"
"2007","Lyle Overbay","-0.1","1617"
"2016","Justin Smoak","-0.1","9054"
"2014","Dan Johnson","-0.2","2167"
"2009","Kevin Millar","-1.2","529"
"2004","Eric Crozier","0.0","3011"
"2011","David Cooper","-0.1","7752"
"1997","Joe Carter","-1.4","1002018"
"2011","Juan Rivera","-0.4","843"
"2004","Howie Clark","-0.5","1533"
"2014","Danny Valencia","0.5","6364"
"2006","Jason Phillips","-0.5","892"
"1992","Pat Tabler","-0.3","1012806"
"2012","Yan Gomes","-0.2","9627"
"2007","Curtis Thigpen","-0.3","8260"
"2011","Mark Teahen","0.0","4511"
"2010","Randy Ruiz","-0.3","2761"
"2002","Brian Lesher","-0.2","1309"
"1998","Kevin Witt","-0.1","362"
"2016","Chris Colabello","-0.5","13051"
"2016","Matt Dominguez","-0.2","4903"
"1992","Mike Maksudian","-0.1","1008009"
